Timestamp,Current(uA),,,,,,,,
0,-3.93E-05,,,,,,,,
0.1050212,-7.86E-05,,,,,,,,
0.1965238,8.46E-05,,,,,,,,
0.3998437,9.06E-05,,,,,,,,
0.4844816,4.83E-05,,,,,,,,
0.5732539,3.02E-05,,,,,,,,
0.7632705,-7.86E-05,,,,,,,,
0.8658782,3.02E-06,,,,,,,,
1.0732408,-6.04E-06,,,,,,,,
1.1883924,9.06E-06,,,,,,,,
1.2871156,-4.53E-05,,,,,,,,
1.4963361,3.02E-06,,,,,,,,
1.5841566,-2.42E-05,,,,,,,,
1.7961896,1.21E-05,,,,,,,,
1.9004178,-7.25E-05,,,,,,,,
2.0035028,-0.00012086,,,,,,,,
2.2053362,9.06E-05,,,,,,,,
2.3011687,3.02E-05,,,,,,,,
2.4913748,-6.35E-05,,,,,,,,
2.5784216,8.46E-05,,,,,,,,
2.6815145,5.74E-05,,,,,,,,
2.8689118,6.04E-05,,,,,,,,
2.97401,-0.000126903,,,,,,,,
3.0773126,-7.86E-05,,,,,,,,
3.2683005,0.074890999,,,,,,,,
3.37143,0.079266137,,,,,,,,
3.5628388,0.105686169,,,,,,,,
3.6658987,0.188191358,,,,,,,,
3.7536308,0.14554585,,,,,,,,
3.9394471,0.156939942,,,,,,,,
4.0443409,0.137360595,,,,,,,,
4.1326947,0.137629509,,,,,,,,first spike: joinack
4.3481813,0.005236267,,,,,,,,second spike:request
4.4213381,0.005435686,,,,,,,,
4.6059713,0.005284611,,,,,,,,
4.7190161,0.005251374,,,,,,,,
4.7907691,0.005118428,,,,,,,,
4.9976375,0.005127493,,,,,,,,
5.0951846,0.005175837,,,,,,,,
5.1818482,0.004976417,,,,,,,,
5.3904608,0.011239995,,,,,,,,
5.5134296,0.011052662,,,,,,,,
5.699868,0.011276253,,,,,,,,
5.7870438,0.011221866,,,,,,,,
5.8904313,0.011116114,,,,,,,,
6.0658396,0.011185608,,,,,,,,
6.1711855,0.011282296,,,,,,,,
6.2523886,0.011276253,,,,,,,,
6.4691772,0.011182587,,,,,,,,
6.5573822,0.011215823,,,,,,,,
6.748654,0.011146329,,,,,,,,
6.8516843,0.010934823,,,,,,,,
6.9658164,0.011255103,,,,,,,,
7.1590305,0.011264167,,,,,,,,
7.238774,0.011116114,,,,,,,,
7.4215001,0.011267189,,,,,,,,
7.5252229,0.011182587,,,,,,,,
7.6283038,0.011155393,,,,,,,,
7.8185086,0.011073813,,,,,,,,
7.914692,0.011107049,,,,,,,,
8.0019697,0.011167479,,,,,,,,
8.2031848,0.011291361,,,,,,,,
8.3029935,0.011143307,,,,,,,,
8.3769716,0.011258124,,,,,,,,
8.5835158,0.011185608,,,,,,,,
8.6642422,0.011264167,,,,,,,,
8.8498834,0.011496823,,,,,,,,
8.9527805,0.011152372,,,,,,,,
9.0412851,0.011200716,,,,,,,,
9.1915496,0.011016404,,,,,,,,
9.2944491,0.011191651,,,,,,,,
9.3816842,0.011397113,,,,,,,,
