Timestamp(ms),Current(uA),D0-D7
20806,206817.063,11111111
20807,203528.797,11111111
20808,201575.547,11111111
20809,208299.813,11111111
20810,205031.250,11111111
20811,208280.109,11111111
20812,206657.672,11111111
20813,204734.422,11111111
20814,205599.297,11111111
20815,208834.516,11111111
20816,215801.281,11111111
20817,217326.516,11111111
20818,220000.094,11111111
20819,223792.484,11111111
20820,222337.344,11111111
20821,227582.500,11111111
20822,228760.203,11111111
20823,224762.969,11111111
20824,217352.094,11111111
20825,218401.625,11111111
20826,216649.594,11111111
20827,214603.609,11111111
20828,208115.484,11111111
20829,209817.297,11111111
20830,205594.719,11111111
20831,215568.984,11111111
20832,218421.906,11111111
20833,220040.359,11111111
20834,221190.922,11111111
20835,226923.422,11111111
20836,227527.641,11111111
20837,231204.641,11111111
20838,231637.922,11111111
20839,224652.844,11111111
20840,248067.828,11111111
20841,271700.375,11111111
20842,249893.641,11111111
20843,222693.031,11111111
20844,212442.953,11111111
20845,211419.828,11111111
20846,207066.938,11111111
20847,203081.328,11111111
20848,202493.656,11111111
20849,209304.844,11111111
20850,208128.344,11111111
20851,209710.078,11111111
20852,206868.453,11111111
20853,203052.422,11111111
20854,204262.750,11111111
20855,207791.703,11111111
20856,214824.984,11111111
20857,215648.766,11111111
20858,218484.031,11111111
20859,222561.609,11111111
20860,221225.297,11111111
20861,227514.125,11111111
20862,225899.625,11111111
20863,221662.438,11111111
20864,214849.672,11111111
20865,215873.313,11111111
20866,214884.813,11111111
20867,213392.172,11111111
20868,209406.375,11111111
20869,212743.234,11111111
20870,207305.391,11111111
20871,205998.563,11111111
20872,203255.219,11111111
20873,200549.547,11111111
20874,200701.672,11111111
20875,206840.594,11111111
20876,206240.656,11111111
20877,208702.188,11111111
20878,208748.609,11111111
20879,210623.594,11111111
20880,238173.078,11111111
20881,263093.656,11111111
20882,245166.672,11111111
20883,216725.234,11111111
20884,206916.578,11111111
20885,208018.484,11111111
20886,205521.297,11111111
20887,202538.797,11111111
20888,200832.875,11111111
20889,207087.141,11111111
20890,204161.328,11111111
20891,207322.078,11111111
20892,205633.734,11111111
20893,203170.891,11111111
20894,204861.688,11111111
20895,208069.516,11111111
20896,214637.641,11111111
20897,215636.641,11111111
20898,220216.609,11111111
20899,228625.594,11111111
20900,223985.922,11111111
20901,226559.281,11111111
20902,225979.563,11111111
20903,222618.984,11111111
20904,215145.547,11111111
20905,215804.469,11111111
20906,214493.938,11111111
20907,212579.578,11111111
20908,206175.094,11111111
20909,208779.516,11111111
20910,204866.984,11111111
20911,214698.688,11111111
20912,251945.563,11111111
20913,266101.063,11111111
20914,241360.203,11111111
20915,236316.469,11111111
20916,245622.688,11111111
20917,250886.844,11111111
20918,251960.594,11111111
20919,233099.750,11111111
20920,250348.766,11111111
20921,271559.125,11111111
20922,250633.984,11111111
20923,222388.422,11111111
20924,212270.719,11111111
20925,210884.703,11111111
20926,205845.969,11111111
20927,202202.797,11111111
20928,199849.453,11111111
20929,208027.016,11111111
20930,206343.328,11111111
20931,208835.563,11111111
20932,206836.172,11111111
20933,203455.266,11111111
20934,205675.422,11111111
20935,208800.047,11111111
20936,215751.984,11111111
20937,216593.203,11111111
20938,219083.781,11111111
20939,223631.594,11111111
20940,222638.891,11111111
