Timestamp(ms),Current(uA),D0-D7
317,0.148,11111111
318,0.150,11111111
319,0.159,11111111
320,0.169,11111111
321,0.142,11111111
322,0.160,11111111
323,0.150,11111111
324,0.149,11111111
325,0.145,11111111
326,0.143,11111111
327,0.141,11111111
328,0.147,11111111
329,0.145,11111111
330,0.146,11111111
331,0.151,11111111
332,0.154,11111111
333,0.149,11111111
334,0.143,11111111
335,0.144,11111111
336,0.152,11111111
337,0.153,11111111
338,0.153,11111111
339,0.159,11111111
340,0.149,11111111
341,0.154,11111111
342,0.149,11111111
343,0.149,11111111
344,0.160,11111111
345,0.160,11111111
346,0.161,11111111
347,0.155,11111111
348,0.150,11111111
349,0.149,11111111
350,0.155,11111111
351,0.148,11111111
352,0.152,11111111
353,0.156,11111111
354,0.155,11111111
355,0.152,11111111
356,0.150,11111111
357,0.166,11111111
358,0.156,11111111
359,0.153,11111111
360,0.150,11111111
361,0.151,11111111
362,0.156,11111111
363,0.147,11111111
364,0.152,11111111
365,0.159,11111111
366,0.163,11111111
367,0.159,11111111
368,0.152,11111111
369,0.143,11111111
370,0.147,11111111
371,0.140,11111111
372,0.143,11111111
373,0.144,11111111
374,0.145,11111111
375,0.147,11111111
376,0.146,11111111
377,0.147,11111111
378,0.143,11111111
379,0.140,11111111
380,0.162,11111111
381,0.144,11111111
382,0.155,11111111
383,0.154,11111111
384,0.152,11111111
385,0.161,11111111
386,0.144,11111111
387,0.149,11111111
388,0.150,11111111
389,0.146,11111111
390,0.149,11111111
391,0.154,11111111
392,0.167,11111111
393,0.161,11111111
394,0.157,11111111
395,0.158,11111111
396,0.152,11111111
397,0.158,11111111
398,0.168,11111111
399,0.164,11111111
400,0.153,11111111
401,0.150,11111111
402,0.160,11111111
403,0.157,11111111
404,0.149,11111111
405,0.160,11111111
406,0.151,11111111
407,0.157,11111111
408,0.155,11111111
409,0.154,11111111
410,0.156,11111111
411,0.146,11111111
412,0.156,11111111
413,0.153,11111111
414,0.160,11111111
415,0.151,11111111
416,0.134,11111111
417,0.147,11111111
418,0.148,11111111
419,0.148,11111111
420,0.139,11111111
421,0.146,11111111
422,0.158,11111111
423,0.155,11111111
424,0.155,11111111
425,0.156,11111111
426,0.146,11111111
427,0.158,11111111
428,0.150,11111111
429,0.148,11111111
430,0.149,11111111
431,0.150,11111111
432,0.152,11111111
433,0.157,11111111
434,0.158,11111111
435,0.153,11111111
436,0.149,11111111
437,0.158,11111111
