Timestamp,Current(uA)
0,0.154317276
0.1579656,0.301132158
0.3209732,0.244095226
0.4773493,0.226250223
0.664911,0.226618846
0.8364318,0.238837809
0.9898774,0.224210708
1.1459534,0.239493475
1.3133625,0.223881364
1.4555847,0.238287895
1.6133588,0.244342989
1.7540469,0.257933714
1.923285,0.244146591
2.1003305,0.282247757
2.2586176,0.309710208
2.4405872,0.295533311
2.5843256,0.289118658
2.724947,0.271074235
2.8814718,0.285937014
3.0373856,0.272110611
3.1935967,0.280640317
3.3498242,0.26411269
3.5076899,0.301017341
3.6650898,0.283060542
3.8228059,0.271231354
3.9789163,0.263877013
4.7482503,0.278467856
4.847864,0.272705848
4.9899545,0.330670381
5.0991779,0.295907977
5.2240076,0.312873722
5.3483919,0.309686036
5.538092,0.311172616
5.6630678,0.30563722
5.788111,0.293823139
5.8971144,0.293224882
6.006879,0.299431051
6.2407662,0.303978415
6.3659524,0.299014083
7.3853612,0.306395618
7.4634114,0.307864069
7.669421,0.306767263
7.7631273,0.310897659
7.8568854,0.310749605
7.9520588,0.290961775
8.0632056,0.304815371
8.1531512,0.302951103
8.3244814,0.302942039
8.4356982,0.302488813
8.5308911,0.298687761
8.6248732,0.31622457
8.7304055,0.316260828
8.8238036,0.299721115
9.0292745,0.315723001
9.1385942,0.307302069
9.2478751,0.302588523
9.334786,0.316152054
9.4281517,0.298974804
9.5185124,0.324572986
9.5992334,0.313085228
9.8248199,0.317143108
9.9343037,0.314614109
10.0279592,0.298530643
10.1042309,0.292258
10.1979585,0.338647152
10.2781531,0.353875532
10.4811632,0.317998193
10.5905033,0.295557483
10.6996186,0.289085421
10.7940524,0.303271383
10.8649707,0.315115678
10.9755824,0.299125879
11.1643088,0.317841075
11.2855546,0.296092289
11.3801679,0.313447808
11.4750273,0.315704872
11.5702929,0.297663471
11.6796245,0.316853043
11.873941,0.318315451
11.9844563,0.344732461
12.0712114,0.287550497
12.1649388,0.314269657
12.2430482,0.314843743
12.3224671,0.304504156
12.4133607,0.315849904
12.6260455,0.363731678
12.7511545,0.352313415
12.8447867,0.367393741
12.9382202,0.374587943
13.0478627,0.339916184
13.1529134,0.363296582
13.3564331,0.344986267
13.4628934,0.361731443
13.5837055,0.353540145
13.662591,0.338190905
13.773672,0.362613722
13.8519156,0.409534658
14.0580177,0.396243062
14.1517609,0.383498358
14.2456567,0.313194002
14.3412002,0.348920266
14.4506885,0.345959192
14.5440011,0.324494427
14.7416678,0.287490067
14.8526132,0.285456595
14.963239,0.321669321
15.0496202,0.331316983
15.1431807,0.303679286
15.2562224,0.331800424
15.4700046,0.27172688
15.565107,0.263242497
15.6588741,0.256812736
15.7638239,0.245391451
15.857574,0.244784129
15.9669705,0.250999363
16.1812507,0.337239131
16.2746472,0.358703896
16.3759837,0.306688704
16.498931,0.324107674
16.5773071,0.363275431
16.6723727,0.332963703
16.9033149,0.371394213
16.9811907,0.430730509
17.0946809,0.373421642
17.1884535,0.392203311
17.2994046,0.371158535
17.4243141,0.365937376
17.6135099,0.352265071
17.6916397,0.360945852
17.7807936,0.348790341
17.8745195,0.408561734
17.9729653,0.342152097
18.0681942,0.320083031
18.286884,0.328878629
18.3858021,0.329685371
18.479526,0.31654485
18.5728204,0.31527884
18.6990704,0.325693964
18.793105,0.448367028
19.0181953,0.343312354
19.1122283,0.372790148
19.2078548,0.381271509
19.3014781,0.299403857
19.3953649,0.299787588
19.4890398,0.370820127
19.681694,0.360208605
19.7770386,0.378455468
19.8706579,0.363973399
19.9760369,0.384099637
20.070151,0.33416324
20.1651362,0.319626784
20.365692,0.342309215
20.4636435,0.315040141
20.5748333,0.227984566
20.6641192,0.24723759
20.7602592,0.188889325
20.8402692,0.270820429
20.9353902,0.203168954
21.1578327,0.309117993
21.2616607,0.191493862
21.3447784,0.262275616
21.4387899,0.207710274
21.5339411,0.231912522
21.6278068,0.212209294
21.8735697,0.19639172
21.9672996,0.25005061
22.0786854,0.188420992
22.187951,0.189729304
22.2817798,0.279745952
22.4844626,0.244914053
22.585439,0.197950816
22.7116621,0.188239702
22.80532,0.245324978
22.898741,0.188916519
22.9772045,0.242626775
23.0705821,0.207492726
23.284715,0.271509332
23.3785648,0.204860996
23.496855,0.207586392
23.5928482,0.323467116
23.6862065,0.286245207
23.8897136,0.286659153
23.9986401,0.308936703
24.1048836,0.298168062
24.2120743,0.279951414
24.3235958,0.281063328
24.4481976,0.284553165
24.6644893,0.190022389
24.7582408,0.202474008
24.8719211,0.244759957
24.949823,0.188976949
25.0436581,0.239581099
25.1373476,0.192953248
25.3406027,0.257024242
25.467574,0.208214865
25.5457809,0.205042286
25.6394592,0.22640432
25.7331058,0.203159889
25.8269741,0.252183792
26.0250488,0.225150395
26.1499734,0.229066265
26.2451223,0.206429156
26.3391957,0.225092987
26.4484189,0.26497684
26.557667,0.203277728
26.7499655,0.239496497
26.8752019,0.188964863
26.9844813,0.203948502
27.0796776,0.215590357
27.1733658,0.202371277
27.2789899,0.31953916
27.5034416,0.214623475
27.605501,0.21493469
27.6848424,0.293572355
27.7787217,0.218626968
27.8877123,0.265161152
27.9813928,0.216659969
28.20037,0.243022592
28.2942091,0.2033019
28.4099829,0.26113953
28.4992571,0.227274513
28.5933122,0.191551271
28.7044834,0.261054928
28.9075609,0.289892163
29.027282,0.300047438
29.1298341,0.299165159
29.2250493,0.289160959
29.3186809,0.302679168
29.4281464,0.252343932
29.646448,0.247352407
29.7500142,0.261900949
29.8607526,0.285958164
29.9815411,0.205426017
30.0773606,0.0828526625
30.2785727,0.130320491
30.4052148,0.128737223
30.4988093,0.0693253889
30.5926787,0.0693012169
30.7016907,0.0680382282
30.8281384,0.0686032495
31.0642939,0.0705339905
31.1737464,0.0676967982
31.2674093,0.0681590884
31.3572107,0.0679596691
31.4681545,0.0681349163
31.5615797,0.12312629
31.7961143,0.150404428
31.9018158,0.088802004
32.0279873,0.0931287978
32.1222514,0.0881191441
32.2312468,0.0714797213
32.457037,0.0728333551
32.5536967,0.0681983679
32.6477057,0.0695399157
32.7571687,0.0680986583
32.8521284,0.0699417757
32.9613533,0.0685156258
33.2033423,0.0680563572
33.2971057,0.0682104539
33.4080986,0.0681741959
33.5173571,0.0692740234
33.6263801,0.0681288733
33.8611299,0.071274259
33.9547791,0.0682225399
34.0602267,0.0722169683
34.1561817,0.0680865723
34.2495867,0.0705974421
34.3401559,0.0681651314
34.5565756,0.0680744862
34.6662526,0.0684884323
34.7596633,0.0680049917
34.8506536,0.069032303
34.9600135,0.0682859915
35.0869909,0.0683041206
35.3214523,0.0683887227
35.4317952,0.0699659478
35.5424897,0.0679687336
35.6521853,0.0694341631
35.7614292,0.0683645506
35.9781306,0.0680200992
36.0893279,0.0681983679
36.1831068,0.0682134754
36.2770042,0.0679294541
36.3708682,0.0683585076
36.480155,0.0685035398
36.690914,0.0864724244
36.7864686,0.0689084214
36.8957619,0.0682195184
36.988727,0.0681953464
37.0996886,0.0683675721
37.2342362,0.0689325934
37.4529383,0.06902626
37.5465994,0.0679415401
37.6596423,0.0696879694
37.7534272,0.0683192281
37.8648171,0.0714283557
38.0851359,0.0680865723
38.1754986,0.0685458409
38.284662,0.0680865723
38.3953062,0.0679868626
38.5050314,0.0689446794
38.5986878,0.0699870983
38.80146,0.0681772174
38.9264293,0.0682557765
39.0201963,0.0683826797
39.1139297,0.0681470023
39.2082716,0.0953042807
39.3177742,0.0682225399
39.5361773,0.069020217
39.6301677,0.0683645506
39.7235814,0.0683796582
39.8332732,0.0718090652
39.9422864,0.0681016798
40.0363721,0.0688630988
40.2800522,0.0722864629
40.3894751,0.0679506046
40.4831421,0.0893609822
40.5924086,0.0695580447
40.7015562,0.0681741959
40.9163807,0.0682104539
41.0257636,0.0679475831
41.1508417,0.0681167873
41.259846,0.0684310237
41.3793,0.0681288733
41.6137088,0.0680926153
41.7226534,0.0684551958
41.8320307,0.0721837317
41.9257711,0.0678418304
42.0463908,0.0690625181
42.1572322,0.0683282926
42.403948,0.0681107443
42.5059704,0.0683494431
42.601577,0.069745378
42.695217,0.0680624002
42.8202756,0.0700505499
43.0542605,0.0893277457
43.1638891,0.0682316045
43.2885379,0.0683675721
43.3826103,0.0684582173
43.4918729,0.0679506046
43.5853538,0.0680080132
43.8040426,0.0689205074
43.9134335,0.0684974968
44.0229439,0.0687936042
44.1321803,0.0683766367
44.2276373,0.0697544425
44.4733507,0.0703375928
44.5674408,0.0679566476
44.6608172,0.0687271311
44.7812181,0.0683675721
44.8769026,0.067905282
44.9863598,0.0683252711
45.2359274,0.0694673996
45.3356796,0.0692528728
45.4315738,0.0711171408
45.5407934,0.0697363135
45.6503049,0.132903877
45.8899493,0.0680714647
45.9902253,0.0683343356
46.1010451,0.0685730344
46.1946541,0.0681349163
46.3353515,0.0679959271
46.4470873,0.0691440987
46.6837561,0.068295056
46.773906,0.0682044109
46.8693808,0.103486514
46.9753003,0.26055638
47.0858756,0.266795786
47.3046983,0.224343654
47.3939945,0.222654633
47.5030988,0.234287424
47.6124296,0.226908911
47.7219917,0.0684370667
47.8158147,0.205416953
48.0501804,0.0714404418
48.1594509,0.199041579
48.2450612,0.09705071
48.3564302,0.0685246904
48.4815036,0.105665018
48.7001812,0.0685851204
48.8312155,0.0701563025
48.9295125,0.146627548
49.0549813,0.0725130757
49.1497718,0.0826592863
49.2750067,0.150812331
49.5034792,0.0681470023
49.6129833,0.0686787871
49.7222343,0.122809032
49.847314,0.0755134292
49.9367799,0.0818042006
50.1617194,0.0684884323
50.2553146,0.105816093
50.3648219,0.149047773
50.4699287,0.0694130125
50.5792653,0.0695006362
50.7044576,0.172473494
50.9385735,0.0681379378
51.0482486,0.0775469014
51.1572511,0.125344074
51.2600598,0.071244044
51.3847107,0.100746009
51.6334833,0.0728122046
51.7281286,0.0687936042
51.8285866,0.174038633
51.9233646,0.0685307334
52.0537863,0.072389194
52.2736631,0.0691259697
52.3986167,0.0684219592
52.4928226,0.0686818086
52.6018549,0.0700596144
52.7113415,0.0681681529
52.8362366,0.0701140015
53.0582095,0.0759726978
53.1799672,0.0683010991
53.2910659,0.125105375
53.4001803,0.0685367764
53.5411385,0.0700777434
53.7545718,0.0694069695
53.8638072,0.0683524646
53.9804351,0.0685065613
54.079713,0.0686576365
54.2064153,0.0685065613
54.444529,0.069008131
54.53931,0.0981505375
54.6340011,0.0699810553
54.7592822,0.0683101636
54.8841202,0.0686697225
55.1114923,0.0683494431
55.2364679,0.0696245178
55.3305727,0.0701955821
55.4398512,0.0677753573
55.5805198,0.0683705936
55.7931699,0.0687271311
55.9043767,0.0684582173
55.9984988,0.0713951192
56.123406,0.0686848301
56.248109,0.068990002
56.3417868,0.067887153
56.5986507,0.070165367
56.6922958,0.0681953464
56.8169975,0.0693102814
56.9422647,0.0685428194
57.0313887,0.0693102814
57.2795803,0.0683162066
57.3746552,0.0684038302
57.4839986,0.0683585076
57.6092862,0.0683071421
57.7026572,0.0686032495
