Timestamp,Current(uA)
0,-0.000102731004
0.1583886,-7.25159639E-05
0.3320506,-1.51073871E-05
0.4883231,6.94947262E-05
0.659393,4.83441979E-05
0.78594,0.000175247368
0.9578127,-4.53224275E-05
1.1139221,-4.83439315E-05
1.259836,-5.74084437E-05
1.4024959,2.41721655E-05
1.5431499,0.000175247368
1.6680521,0.000108774279
1.8216122,-8.1580476E-05
1.9950708,5.4387206E-05
2.2023388,8.15807424E-05
2.3429759,-1.81288911E-05
2.4938219,0.000108774279
2.65194,1.81291574E-05
2.8238208,0.0617202632
2.9797192,0.0714525278
3.1362321,0.0867715533
3.276509,0.165382024
3.432705,0.140421379
3.5889132,0.154416986
3.74243,0.140104121
3.8846182,0.152619191
4.0410017,0.138859261
4.2433244,0.139052638
4.3698532,0.139094939
4.526067,0.138801853
4.6669169,0.138786745
4.8427838,0.14120697
5.0164741,0.198092827
5.1573917,0.144509474
5.3134899,0.158027683
5.48828,0.144065313
5.6306569,0.157773877
5.7869186,0.143772227
5.9556922,0.14393841
6.1296482,0.157024544
6.2659279,0.143947474
6.4396853,0.161886144
6.5879607,0.143325044
6.7459317,0.157133318
6.9140725,0.143793378
7.0793609,0.156909727
7.2372046,0.157078931
7.3936781,0.144122722
7.5343305,0.158196887
7.7016671,0.143267636
7.8750021,0.156897641
8.0241816,0.143300872
8.1650871,0.157643952
8.3209967,0.143606044
8.4774537,0.157888694
8.6337419,0.143995818
8.7899962,0.156619662
8.9614767,0.143654388
9.1341098,0.144092506
9.290227,0.14409855
9.4465067,0.143989775
9.6000223,0.15765906
9.7421726,0.157444533
9.9112524,0.176035847
10.0828075,0.145352474
10.2393793,0.176220159
10.4111194,0.157420361
10.5830058,0.162880219
10.7545518,0.295929128
10.9153125,0.163372724
11.071576,0.163460347
11.2277101,0.163683939
11.3992658,0.163457326
11.571972,0.162665692
11.7146182,0.163363659
11.8702336,0.158595726
12.0084697,0.163393874
12.1656277,0.162825832
12.3060624,0.163677896
12.4311784,0.162732165
12.5684407,0.174642934
12.7264399,0.163248842
12.8827294,0.181716275
13.0545925,0.153419889
13.2119427,0.176513245
13.3602679,0.148440451
13.5021499,0.17738646
13.658579,0.153858008
13.7992416,0.177395524
13.9652904,0.148733537
14.1214962,0.176516266
14.2949442,0.157341802
14.4511691,0.163336466
14.6297861,0.161620251
14.7899067,0.163442218
14.9549439,0.161463133
15.128696,0.171228634
15.2693203,0.182196694
15.4090122,0.187644466
15.5871287,0.163143089
15.7434965,0.170721022
15.9153748,0.163248842
16.05267,0.166989464
16.2108914,0.162934606
16.366846,0.162007004
16.5076621,0.163288122
16.6539311,0.153132847
16.8289572,0.163602358
16.9805645,0.15796121
17.1266918,0.163451283
17.2988642,0.157873586
17.4411619,0.163469412
17.613014,0.161408746
17.784541,0.178573911
17.9566484,0.153646502
18.128517,0.157190727
18.3000484,0.176770073
18.4568902,0.151927266
18.6287743,0.177238406
18.7850243,0.144539689
18.9252559,0.18741181
19.0974397,0.143887044
19.2379177,0.176948341
19.4062015,0.144050205
19.5619133,0.163318337
19.7195683,0.157879629
19.8602854,0.233882542
20.0165473,0.144376528
20.1772916,0.177063159
20.3338739,0.163143089
20.489998,0.163693003
20.6459404,0.163759476
20.8023452,0.163378767
20.9430465,0.16362653
21.0993154,0.176573675
21.2239294,0.163671853
21.3648673,0.16340596
21.5051501,0.176791223
21.661642,0.163155176
21.8331578,0.163798756
21.9886154,0.176232245
22.1619942,0.144310055
22.318081,0.17431359
22.468436,0.164161336
22.6496181,0.163239778
22.8054536,0.176827481
22.9773017,0.228380383
23.1335,0.179039222
23.2900084,0.161952617
23.4462767,0.157927974
23.6517732,0.176697557
